,nickname,text,score,like,dislike,time,watch_movie
1041,하이패스(jjin****),남자라면 평점 10점 만점의 10점.,10,0,0,2013-05-11 15:52:00,0
1042,kjm2****,이게 왜 평점이 높은지 이해를 못하겠다. 스토리없는 오락용이구만.,6,0,0,2013-05-11 13:27:00,0
1043,보리쌀(donh****),진짜잼씀,10,0,0,2013-05-11 11:03:00,0
1044,glor****,사랑해요 로버트다우니 주니어,10,0,0,2013-05-11 09:31:00,0
1045,epdl****,진심 대박,10,0,0,2013-05-10 16:03:00,0
1046,tae0****,헐크가 개쎄군!,10,0,0,2013-05-10 08:44:00,0
1047,jssh****,헐크 개쎄다 짱,10,0,0,2013-05-10 06:48:00,0
1048,f4gh****,추천합니다!!! 꼭 보셔야되요!!!,10,0,0,2013-05-09 23:08:00,0
1049,다이노설(room****),로다주의 억지 개그 헐크 짱짱맨 이것만알면 영화다본느낌인것같네요 그냥 볼껀 훌륭한 그래픽정도..인것같아요..,5,0,0,2013-05-09 17:13:00,0
1050,ouic****,깊이가 없고 내용도 허술하지만 컴퓨터 그래픽을 보는 것만으로도 가치 있는 히어로 무비. 킬링 타임용으로 더할나위가 없다.,7,0,0,2013-05-09 15:48:00,0
1051,cs2d****,재밋넹,10,0,0,2013-05-09 02:06:00,0
1052,더매직(fbrq****),재밋엇어요 ㅋㅋ,10,0,0,2013-05-08 22:32:00,0
1053,eJ(eomj****),초반에 뭔가 아쉬움이 후반에 다풀리는  역시 어벤져스,6,0,0,2013-05-08 17:16:00,0
1054,rege****,한국영화가 발전할려면 잘만들어진 외국영화도 잘 만들어졌다고 인정해햐한다. 멍청한 1점짜리 알바들 때문에 10점 줘도 될 한국영화가 1점짜리로 바뀌는 상황을 파악 못하나!난 한국영화 외국영화 구별 안하고 잘 만들어진 ...,10,0,0,2013-05-08 04:06:00,0
1055,jds9****,나 트랜스포머 봤는데 이 영화도 볼 가치가 있을까?,5,0,0,2013-05-08 01:55:00,0
1056,미풍양속(skyd****),영화관 가서보면 무난하게 재밌게 볼수있는듯 액션좋아하면 더욱 하지만 금방 졸리는 사람은 좀 잘수도,10,0,0,2013-05-07 22:09:00,0
1057,단호박(floo****),킬링타임용 영화 중에선 당연 최고. 유치하고 뭐고를 떠나서 그냥 아무생각없이 즐기기엔 최고인 듯.,10,0,0,2013-05-07 01:06:00,0
1058,쉐브첸코(lovu****),SF를 꺼리던 나를 완전 빠지게 만든  어벤져스! 아이언맨!,10,0,0,2013-05-07 00:16:00,0
1059,leti****,헐크가 갑이다.,7,0,0,2013-05-06 22:57:00,0
1060,MissGO(wate****),너무너무 재밌지만 빌런이 좀만 더 쎘으면 했다... 이번 빌런 정말 최애캐지만... 허허,10,0,0,2013-05-06 18:37:00,0
1061,pjs8****,재밌네요,10,0,0,2013-05-06 04:24:00,0
1062,jk63****,진짜짱임,10,0,0,2013-05-06 00:51:00,0
1063,별명1(whwn****),10점,10,0,0,2013-05-05 23:28:00,0
1064,alsr****,마블 히어로 무비 중 명작 중의 명작. 2년 후 나올 2가 기다려집니다.,10,0,0,2013-05-05 21:40:00,0
1065,믿음이(gudw****),나름 재미나게 잘 봤습니다~ 시간은 진짜 잘갔어요  시간가는줄 모르고 봤네요,7,0,0,2013-05-05 20:48:00,0
1066,리즈샵(lovv****),♡,10,0,0,2013-05-05 19:09:00,0
1067,히라코(oki2****),쵝오,10,0,0,2013-05-05 18:39:00,0
1068,tisw****,로버트다우니주니어 졸잼,10,0,0,2013-05-05 15:44:00,0
1069,gmlw****,진짜 재밌음? 너무 지루해..  십분인가 남기고 껐음,3,0,0,2013-05-05 15:42:00,0
1070,kimt****,최고,10,0,0,2013-05-05 15:39:00,0
1071,tndt****,할리우드 영화는 요새초딩들을 위한영화니? 그래픽만 존1나좋은것 빼곤 장점이없다 레알 초딩들이나 보고 광분할거같은데,10,0,0,2013-05-05 08:30:00,0
1072,포스(wp00****),말이 필요없네,10,0,0,2013-05-05 05:56:00,0
1073,msul****,빨리 2나와라,10,0,0,2013-05-05 04:39:00,0
1074,이창민제왕(lbk9****),어벤져스는 영화계의 축복받은 영화입니다. 말이 필요없죠.,10,0,0,2013-05-04 22:23:00,0
1075,tlsw****,"난 별론데. 연기최고, 집중도 꽝.",5,0,0,2013-05-04 20:56:00,0
1076,cool****,말이 필요없음,9,0,0,2013-05-04 16:39:00,0
1077,indo****,ㅋㅋ 재밌다 근데 좀 복잡했음,10,0,0,2013-05-04 16:34:00,0
1078,즐거운(yoob****),미국 히어로 영화에 있어서 혁명급 기념비적인 영화,10,0,0,2013-05-04 15:18:00,0
1079,ㅇㅇ(saf1****),그냥 재밌게 볼만한 오락영화 ㅎ,8,0,0,2013-05-04 13:42:00,0
1080,에이스(leej****),알바 놈들 꺼져 ㅄ들,10,0,0,2013-05-04 13:11:00,0
1081,천문학자(pana****),그냥 재밌게 볼만한 오락영화 ㅎ,7,0,0,2013-05-04 12:48:00,0
1082,spqj****,재밋는대요 1점주는 넘들은 알바가 확실합니다. 이정도 영화를 만들려면 제작비는 어마하지만 우리나라는 제작비가 아까워서 최대한 내용에 중심을 두죠 그래서 저희 나라사람들은 감동을 느낄줄 모릅니다.,10,0,0,2013-05-04 11:37:00,0
1083,핵폭탄(ds5b****),어벤져스 너무 재밌네요. 아래에 평점알바들 무개념이네요;,10,0,0,2013-05-04 10:39:00,0
1084,케인첼(eart****),마블영화엄청재미있는데 1점알바꺼저좀 완전개념없냐,10,0,0,2013-05-04 02:19:00,0
1085,나쵸(goge****),최고~~~~~~~~~~~~~~~~~~~~~~~재밌다,10,0,0,2013-05-03 14:27:00,0
1086,미니핑(open****),초중반은 좀 지루한데 싸우는 장면부턴 재밌었음ㅋㅋㅋ다른 히어로들도 멋있지만 아이언맨이 가장 진리♥,7,0,0,2013-05-03 13:26:00,0
1087,레이(dirm****),재미있었어요!!!특히 헐크 귀여워!!!! 내용은 유치해도 이 영화의 목적은 유명 히어로들끼리의 결투가 목적이라 목적은 충분히 달성한 듯 해 보여요. 어느 히어로가 더 쌜지 비교하는 재미? 전 헐크가 가장 쌘 거 같아...,10,0,0,2013-05-03 13:14:00,0
1088,앤디샘버그(gist****),재밌네요,10,0,0,2013-05-03 12:24:00,0
1089,joh_****,유치하고 지루하고.. 또다시 파워레인져가 생각나는군요..예나 지금이나 애들은 이런게 재밌나봐요. 평점 높은건 애들 탓인듯.. 어제 아이언맨3 봤는데 비교팍팍되네요.,6,0,0,2013-05-03 11:17:00,0
1090,koji****,4d나 imax에 특화된 영화. 집에서 모니터화면으로 보는건 시간낭비 ㅋㅋㅋ,10,0,0,2013-05-02 23:58:00,0
