,nickname,text,score,like,dislike,time,watch_movie
70,Shizuku(gack****),"원작을 많이 꼬아 놓았지만, 그럭 저럭 볼만했음. 마지막이 보너스 영상에서 나오는 그놈이 빨리 보고 싶음.",9,39,9,2015-04-23 16:54:00,0
71,성재(zksd****),액션은 역시나네요...!!,10,47,17,2015-04-23 13:38:00,관람객
72,라라(bbo6****),잘 나가는 과자로만 만들어진 종합선물세트.  현실엔 없는데 어벤져스엔 있다~,10,39,11,2015-04-23 12:49:00,0
73,annnne(idea****),액션이며 스토리 기대치 못하다 분위기 어둡게 하는데 하나도 안어울림,5,43,16,2015-04-23 14:09:00,0
74,블루(0001****),기대가 너무 컷나봅니다.영화보다 졸기까지...,5,46,20,2015-04-24 17:50:00,관람객
75,Jack(mg14****),진짜 재밌게 봤다 ㅋㅋ어떻게 재밌는지 설명하고 싶은데ㅅ설명할라면 스포일러...ㅋㅋㅋ,9,64,38,2015-04-23 12:38:00,관람객
76,이팔청춘(acts****),본격 마블 덕후 양산 영화,10,40,16,2015-04-23 18:47:00,관람객
77,라이토(slvj****),핵노잼;;;뭐냐 이거;;;,1,46,22,2015-05-02 01:02:00,관람객
78,hoes****,이 영화의 진정한 끝은 쿠키영상에 있지,10,24,1,2015-04-23 18:45:00,0
79,Allday(alld****),스토리가 산만하게 흘러가다가 마지막에 분위기잡고 최후의결전 그 뒤 끝냄. 개연성은 있지만 재미는 부족한 시나리오,7,38,15,2015-04-23 17:10:00,0
80,tbwn****,역시. 그냥 보세요. 최소 본전은 건집니다,10,42,19,2015-04-23 13:00:00,0
81,stor****,많이 기다렸던 영화인데 기대만큼 그리 재밋지는 않았음 ㅠㅠ,9,42,20,2015-04-23 14:16:00,관람객
82,heli****,서울 왜 그따구로 나왔냐 참....판자촌 사이에 둥둥섬 빼고는 베트남인줄 알았다 차라리 부산 광안대교 센텀 마린시티에서  찍어도 그것보다  멋지게 나왔을듯 서울이  어벤져스2 망쳤음,5,44,22,2015-04-23 14:20:00,0
83,구레기(tkda****),하....초딩만화영화보는줄,1,64,42,2015-04-26 22:27:00,관람객
84,heon****,액션씬보다 대화씬이 많아서 좀 지루했어요 전편이 더 재있는 듯,6,34,13,2015-04-24 00:05:00,0
85,배성재(nice****),솔직히 재미없었다. 스토리가 너무 산으로감ㅡㅡ,1,30,10,2015-04-27 15:25:00,관람객
86,jadu****,기다리고 기다리던 어벤져스2 3편 나올 듯 기대됩니다,10,30,10,2015-04-23 18:49:00,관람객
87,yang****,지루함의끝을달린다이건뭐냐,1,46,26,2015-04-27 02:31:00,관람객
88,전홍미(riri****),아직은 못봣다 손 ...,10,48,28,2015-04-23 11:00:00,0
89,하이텔(bigd****),대박이다 무조건 봐라 아이맥스로 꼭!!,10,50,30,2015-04-23 10:59:00,0
90,웅이(hunt****),"재미 없어요,,,,1편을 기대했다면 무조건 실망해요,,,",1,30,11,2015-05-02 17:14:00,관람객
