,nickname,text,score,like,dislike,time,watch_movie
105,acourve(tjdw****),와 나 영화보고 집가는길에 천천히 다시 생각해봤는데닥터스트레인지가 왜 타임스톤 넘긴지 생각해봤는데 일부러넘긴거였어ㅋㅋㅋㅋ개소름돋네진짜 타임스톤넘긴게 이길수있는 한가지방법이였는데 넘긴게 타노스가 어떠한이유로 다시 시간...,10,450,18,2018-04-25 21:38:00,0
106,AHHA(kdyi****),토르는 역시 신이구먼. 잠시나마 잊고 있었어.,10,438,12,2018-04-25 12:46:00,0
107,별의전설(kyuy****),누가토르가 조밥이라고했노? 다죽일삘라토르가 마블에서 1인자다,10,437,13,2018-04-25 21:53:00,0
108,그깟대충(gomu****),마크러팔로가 실수로 스포한게 진짜였을줄이야ㅋㅋㅋ,9,434,15,2018-04-25 19:04:00,0
109,또리(iaan****),스타로드 욕하는 인간들아 ;; 닥터가 그것까지 안보고 일저질렀겠냐?? 생각좀,10,426,16,2018-04-25 17:47:00,0
110,혁이(sksk****),14000602분의 1,10,415,18,2018-04-25 19:24:00,0
111,핸(jhae****),거의 어벤져스 구조조정,10,397,6,2018-04-26 00:19:00,0
112,마징가(goon****),비젼 동네개찐따처럼만들어놨네 이마에보석아깝다 ㅡㅡ,8,395,10,2018-04-26 15:48:00,0
113,피탕(peta****),옆에 계신 분이 마지막 장면을 보고 어이가 없어서 입을 못 다무신 모습 잘 관람하였습니다.,8,402,17,2018-04-25 11:43:00,0
114,벅경(kyun****),아이언맨 광팬이였던 내가...토르만 생각이난다.. 토르는 신이였다.,10,380,2,2018-04-26 02:51:00,관람객
115,고태성(rh98****),DC우는 소리가 여기까지 들린다ㅋㅋㅋ,10,373,15,2018-04-25 17:36:00,0
116,NOC(vkfk****),박지훈이라는 번역가가 대작 하나를 망치는구나,10,357,4,2018-04-25 19:52:00,0
117,라지쥬(sawa****),그거 하나 생각났다.. 마블시리즈가 더 안나오면 볼영화 없겠구나....,10,364,11,2018-04-25 14:19:00,0
118,박정훈(8242****),닥터스트레인지가 말한 한 가지 승리 방법이 타노스가 직접 후회하게 만들어서 시간을 되돌리는 겁니다.,10,367,18,2018-04-25 23:02:00,0
119,월야1234(cotm****),닥터 스트레인지의 최후반부 대사  '이제 다 끝났어'   는 틀린 번역입니다 이게 최종단계야 가 옳은 표현입니다 Mother fucker라는 욕을 '어머니'라고 번역했습니다 이글을 읽으신...,10,352,8,2018-04-25 16:51:00,0
120,해온(haeo****),형형색색의 공기돌을  수집하는 딸바보 아빠의 우주여행기,10,342,5,2018-04-28 16:31:00,0
121,타마(dutl****),우주를 살리기위한 타노스 선생의 위대한 희생정신이 빛나는 영화,10,354,17,2018-04-25 13:43:00,관람객
122,정윤서(duri****),10년동안 마블의팬이셨던분들은 기존의식상한 엔딩과는다른 신선한엔딩을볼수있어서 충격과 어벙찜이 공존할것이고 히어로물을 처음보신분들이라면 그냥 쓰레기영화.,10,418,86,2018-04-25 11:10:00,0
123,Kindtoast(dlwo****),진짜 관객을 호구로 보나? 헤임달은 흑마법사처럼 되고 통과 능력을 페이징이라 쓰고  속편을 기대하게 만들어야 하는 닥터 스트레인지의 말을  가망 없는것마냥 번역해버리네. 돈주고 티켓산 관객들한테 피해를 줄거면 그냥 ...,10,338,7,2018-04-25 23:00:00,0
124,피타입(xosk****),닥터가 시간을 앞질러 몇십만개의 미래를 보고왔다고했을때토니가 승리할수있는 방법이 있냐고 물었을때단 한가지 있다고 했다분명히 닥터는 보석을 순순히 넘겨준게 아니다,10,321,5,2018-04-26 09:39:00,관람객
125,일이삼사(bong****),히어로물에 권선징악이 없다니..,10,326,12,2018-04-25 13:18:00,0
126,찹쌀개(sahr****),스포 하지마라 진짜 우리가 느낀 그 결말의 충격을 모든 사람들이 느껴야 해,10,317,5,2018-04-25 14:36:00,0
127,곰곰(mank****),토르랑 스칼렛만 개쎄다.,8,315,7,2018-04-25 20:41:00,0
128,이창주(ckdw****),기대한만큼 꿀잼인데 그냥 충격이다,10,308,10,2018-04-25 11:04:00,0
129,브랄레ㅔ렐(zlap****),가벼운 마음으로 봣다간 현타오는 영화,10,303,6,2018-04-25 12:57:00,관람객
130,소현이빠(duli****),미친...맨탈파괴다마지막에,10,312,17,2018-04-25 10:50:00,0
131,dgfas(lgk9****),혼자보겟지 생각햇지만 역시 혼자봣다,10,298,10,2018-04-25 10:53:00,0
132,시넝이(syri****),엄청난 스케일에 한 번 놀래고 그 많은 영웅들 빠지지 않게 스토리가 잘 짜여있어 제작진 능력에 감탄하였습니다.,8,290,8,2018-04-25 21:22:00,관람객
133,풀라(als5****),닉퓨리 효자설....,10,284,4,2018-04-25 20:59:00,0
