,nickname,text,score,like,dislike,time,watch_movie
226,jiwo****,와...알바들보소...두 줄짜리 평 남긴 놈들 대부분 알바놈들임. 영화도 안보고썼냐? 액션은 섬에서가 제일 좋고 다음부턴 헛웃음나옴. 또 각 캐릭들 사연있게 만들어놓고 떡밥회수도 안함. 특히 스나이퍼 캐릭은 도대체 ...,1,16,6,2017-06-18 22:53:00,0
227,안정훈(ever****),이게  재미없으면  영화 볼거없음재미있게 잘 봤어요,10,16,6,2017-06-01 07:59:00,0
228,피아노쟁이(leej****),와 이건 진짜 내 태어나서 인생작이다. 와 정말 최고의 영화에요  Awesome!,10,16,6,2017-06-01 02:14:00,0
229,wnrh****,"재밌습니다 퍼스트 어벤져스랑 배경이 비슷한데  비교하자면 내용 ,액션, 전체적분위기가 훨 좋아요 은근 재밌는 장면도 중간중간 들어가있고 꼭보세요 후회 안합니다",10,16,6,2017-05-31 13:23:00,0
230,애디(edju****),이게 재미없으면 한쿡영화나 봐라 원더우먼 지리고 ost에 뻑갔다,10,17,7,2017-05-31 21:26:00,0
231,dickie(yubi****),중반 어린아이와 민간인들을 위해 전장으로 뛰어들때의 모습은 진심 지렸다ㅋ 원더우먼의 등장! 종반 아레나인지 아레스인지와의 전투씬은 손 발가락이 오그라들어 엔딩후 극장을 제대로 걸어 나올수 없었음ㅜㅜ,7,17,7,2017-05-31 16:09:00,0
232,세기의걸작히오스(davi****),정통 히어로를 잘 보여준 영화. DC가 오랜만에 괜찮은 영화 만든듯,9,17,7,2017-05-31 14:01:00,0
233,elec****,베드신 기대했는데...그 장면에서 순간 영화관이 조용....,10,18,8,2017-05-31 12:20:00,0
234,ㄴㅇㄹ(iqpi****),대립군 보다 평점이 낮은걸 보니 적폐세력이 여기도?,10,19,9,2017-06-01 08:25:00,0
235,바람코지(sadh****),마블충들과 국내영화충들이 몰려와서 1점테러하는거 꼴보기 싫어서 10점준다 이거 1점받을 영화는 아니다.평점테러 앵간히 해라~,10,19,9,2017-05-31 12:36:00,0
236,공겨울(gaeu****),로튼지수값합니다 여러분ㅠㅠ 갤가돗 존예보스,10,20,10,2017-06-01 08:23:00,관람객
237,승재리(hair****),갓갓갓갓 소소한 재미를 잘 캐치한 영화예요,10,21,11,2017-06-01 01:34:00,관람객
238,계란(wlwh****),dc 바보.. 왜 이제서야 이런 영화를 낸고야....ㅠㅠㅠ 속으로 보러 가서 오줌 찌리고 옴...ㄹㅇ...,10,25,15,2017-05-31 08:25:00,0
239,주경야독(veji****),액션 스토리 비주얼 감동 빠지는게 없다 .. 또 보고싶다.. 2번 울었다..,10,27,17,2017-05-31 12:19:00,관람객
240,Destiny(dbsw****),팝콘맛에 집중할 수 있어서 좋았습니다.웬만한 영화는 엔딩크레딧 다보고 나왔는이 영화는 끝나자마자 바로 나옴,1,28,18,2017-06-01 16:37:00,0
241,섭이(fort****),친구들이랑 보자고 데려갔다가 보고나와서 미안하다고 사과함.,1,31,21,2017-06-02 10:52:00,0
242,dbqj****,연출 유치하기 짝이없고걍 영화내내 꿀잠자고 개운하게 영화관 나옴.,1,36,26,2017-06-05 16:39:00,관람객
243,이준완(dlwn****),절대보지마세요개핵노잼입니다,1,44,34,2017-06-06 02:40:00,관람객
244,rlaq****,아...개재밌게봤네 갤가롯 너무이뻐...마지막까지감동이구만...극장가서볼걸...난너무재밌고 슬프게봤다 추천!,10,9,0,2017-07-26 00:27:00,0
